cuisine,order_size_items,prep_time_estimate_min,distance_km,driver_experience_m,courier_type,weather,wind_mps,traffic_level,hour_of_day,day_of_week,restaurant_load,delivery_time_min
pizza,3,11.7,1.6,0,ebike,storm,10.5,medium,1,Mon,0.14,32.5
pizza,5,12.2,7.8,5,ebike,clear,5.4,low,1,Mon,0.14,50.0
indian,5,15.9,2.0,12,ebike,clear,6.1,low,2,Mon,0.14,47.3
burger,4,8.6,3.1,10,ebike,storm,8.4,medium,3,Mon,0.14,35.3
fried_chicken,6,11.9,3.3,7,bike,storm,10.2,medium,4,Mon,0.14,48.1
salad,2,6.6,1.9,15,bike,clear,6.3,high,5,Mon,0.14,22.9
mexican,3,11.6,2.6,9,ebike,clear,5.7,medium,5,Mon,0.14,36.6
mexican,3,11.6,2.4,5,ebike,clear,5.5,low,6,Mon,0.14,27.9
pizza,5,12.2,2.8,8,ebike,clear,3.2,high,6,Mon,0.14,41.6
mexican,2,11.3,2.6,4,ebike,clear,5.6,low,6,Mon,0.14,31.8
indian,4,15.6,3.4,1,ebike,clear,4.3,medium,7,Mon,0.14,49.5
burger,4,8.6,2.2,6,bike,clear,4.6,high,7,Mon,0.28,34.0
mexican,3,11.6,1.5,13,ebike,clear,1.4,high,8,Mon,0.14,34.1
pizza,3,11.7,3.3,5,bike,clear,3.5,high,8,Mon,0.28,43.9
fried_chicken,2,10.9,2.5,8,ebike,clear,4.7,medium,8,Mon,0.14,33.2
indian,6,16.2,4.8,1,ebike,clear,7.7,medium,9,Mon,0.14,54.8
indian,3,15.3,7.4,5,bike,clear,7.7,low,9,Mon,0.14,61.0
fried_chicken,5,11.7,3.4,4,ebike,clear,3.5,medium,10,Mon,0.28,34.8
sushi,3,14.1,2.5,9,ebike,rain,6.9,low,10,Mon,0.14,39.8
pizza,6,12.4,2.0,2,bike,clear,9.7,high,10,Mon,0.42,35.8
mexican,3,11.6,5.1,9,ebike,clear,4.6,medium,10,Mon,0.56,43.0
mexican,6,12.2,2.8,0,ebike,clear,5.0,low,10,Mon,0.69,41.0
burger,7,9.1,2.3,12,bike,clear,8.0,medium,10,Mon,0.28,32.1
