age,membership_tier,bookings_30d,late_cancels_30d,lead_time_hours,class_start_hour,day_of_week,instructor_pop,received_reminder,rain_risk,distance_km,no_show_next_class
25,plus,1,0,59,10,Sun,3,1,medium,4.4,0
46,basic,1,0,10,19,Thu,1,1,medium,8.2,0
28,vip,8,0,53,12,Thu,5,1,low,11.7,0
31,plus,4,0,11,20,Mon,3,1,low,4.9,1
36,plus,3,0,37,13,Sun,3,1,low,0.1,0
34,plus,5,0,3,20,Sun,3,1,low,6.7,0
25,vip,8,2,43,15,Thu,4,0,low,3.8,0
27,basic,7,1,1,20,Mon,4,0,low,2.3,1
41,plus,1,0,38,19,Tue,4,0,low,11.3,0
48,basic,5,0,0,14,Mon,3,0,high,8.3,0
39,plus,4,0,133,17,Wed,3,1,medium,11.6,0
45,plus,4,2,55,19,Sun,3,0,low,12.0,0
21,plus,2,0,151,21,Mon,3,1,medium,3.9,0
31,plus,6,1,5,8,Sat,5,0,low,3.2,1
18,basic,8,3,97,8,Sun,3,0,medium,5.5,0
46,vip,3,0,52,18,Sun,2,1,low,6.1,0
22,vip,5,1,65,14,Sat,5,1,medium,18.2,1
59,basic,3,1,33,10,Sun,5,1,high,2.2,0
44,plus,4,1,21,19,Sun,5,0,medium,11.1,0
23,basic,1,0,65,17,Tue,3,0,low,8.7,0
44,basic,3,1,161,21,Sat,3,1,low,15.0,1
22,basic,2,1,36,21,Fri,4,0,low,14.8,0
67,basic,15,2,43,8,Tue,3,1,low,11.5,1
26,basic,2,0,89,11,Thu,4,0,low,5.9,0
54,plus,1,0,91,11,Sat,2,0,low,6.6,0
25,basic,3,2,15,15,Wed,3,1,medium,6.6,1
44,basic,1,0,132,18,Sat,3,1,medium,6.6,0
35,vip,14,2,28,7,Tue,4,1,medium,11.8,1
28,basic,8,1,59,8,Sat,2,1,low,7.3,1
47,plus,1,0,3,16,Fri,2,0,medium,10.4,0
33,plus,1,0,32,12,Fri,4,1,low,1.7,0
33,basic,3,0,3,14,Fri,4,0,medium,5.1,0
53,plus,1,0,5,18,Sat,3,0,low,4.7,0
34,plus,3,0,123,12,Wed,3,1,low,9.1,0
27,basic,1,1,43,13,Sat,5,1,high,5.9,1
38,plus,5,2,106,20,Tue,3,1,medium,8.7,1
57,plus,1,0,27,13,Sat,2,0,low,8.8,0
44,basic,3,0,59,8,Sat,5,1,low,3.6,0
19,basic,2,0,148,9,Wed,3,1,medium,0.1,1
33,basic,12,2,32,12,Tue,4,1,low,3.1,0
41,plus,6,0,85,13,Sat,2,1,low,5.6,0
38,basic,1,1,153,19,Mon,2,1,high,5.7,1
37,basic,1,1,61,21,Sat,2,0,high,7.4,1
52,plus,1,0,5,8,Wed,3,0,low,3.4,0
23,plus,1,0,21,15,Fri,4,1,low,7.8,1
51,basic,2,0,18,9,Tue,2,0,low,8.2,0
34,plus,3,0,10,16,Wed,2,1,medium,5.3,1
70,basic,1,0,30,19,Tue,5,1,medium,6.8,0
28,plus,4,1,86,17,Tue,5,1,low,7.6,0
28,basic,7,1,9,18,Tue,3,1,high,7.0,1
33,basic,2,0,2,15,Sat,3,0,medium,7.4,0
43,plus,5,1,11,20,Sat,3,0,low,11.3,1
48,basic,20,2,47,18,Sun,3,1,high,5.1,1
34,basic,1,0,125,12,Tue,3,0,low,2.4,1
42,vip,3,1,127,18,Fri,3,1,medium,2.9,0
25,vip,2,0,61,15,Sun,3,1,low,1.4,0
19,basic,1,0,0,12,Thu,4,0,low,9.5,0
32,basic,7,2,48,18,Sat,3,1,medium,18.8,1
32,basic,1,0,9,17,Sun,4,0,low,19.6,0
31,basic,2,1,58,13,Tue,3,1,medium,7.0,1
18,basic,1,0,104,13,Thu,4,1,low,11.7,0
46,plus,4,1,84,12,Sat,5,1,low,3.3,0
18,plus,9,1,27,18,Sat,4,1,medium,9.5,0
27,basic,10,3,53,7,Sat,4,1,low,8.4,0
36,vip,3,0,85,9,Tue,3,1,medium,12.6,0
28,plus,1,0,6,19,Tue,5,1,medium,10.6,1
40,basic,1,1,36,20,Fri,3,0,medium,1.3,1
39,basic,5,1,24,12,Sat,4,1,low,12.3,1
27,basic,1,0,70,20,Tue,3,1,medium,3.0,0
48,basic,4,0,48,14,Tue,5,0,low,7.7,0
36,basic,2,0,23,18,Fri,2,1,low,6.0,0
47,basic,5,0,126,12,Fri,4,0,high,8.3,0
28,vip,2,1,42,9,Sat,3,1,medium,4.0,1
25,vip,7,1,13,20,Fri,2,1,low,6.9,0
36,basic,2,0,32,13,Sat,5,0,high,8.7,1
45,vip,3,1,43,19,Wed,3,0,low,15.0,0
24,basic,5,0,45,13,Wed,4,1,low,4.8,1
30,basic,1,0,125,12,Wed,3,1,low,4.7,0
23,plus,2,0,45,12,Sun,1,0,medium,13.9,1
39,basic,11,3,28,18,Fri,2,1,medium,6.7,0
22,vip,6,1,5,12,Sat,4,0,low,16.0,0
45,vip,5,2,68,19,Thu,1,1,medium,14.7,0
55,basic,2,1,55,10,Sat,5,1,medium,2.3,0
42,basic,6,1,64,19,Tue,5,0,medium,11.5,0
53,vip,4,1,43,14,Tue,5,0,low,14.7,0
58,plus,6,0,135,18,Mon,3,0,medium,5.3,0
52,basic,1,0,5,19,Sun,5,0,medium,10.2,0
47,plus,6,1,45,12,Sat,2,1,medium,2.7,0
50,basic,3,0,160,16,Wed,3,0,low,11.9,0
35,plus,1,0,4,10,Tue,5,1,low,9.4,0
45,basic,3,0,67,9,Sun,3,0,medium,4.2,1
39,basic,9,2,68,16,Sat,4,0,low,6.4,1
28,basic,1,0,5,17,Tue,3,1,low,9.4,0
18,basic,2,0,132,12,Wed,4,0,low,4.8,0
35,vip,1,0,61,21,Wed,3,1,low,11.1,0
33,plus,1,0,87,12,Sat,3,1,high,13.0,0
29,basic,9,1,9,14,Thu,1,0,high,3.3,0
46,plus,1,1,97,13,Sat,5,0,low,19.3,1
39,plus,3,0,51,13,Tue,2,1,low,9.0,1
45,vip,8,2,149,8,Mon,2,1,high,11.8,0
28,basic,1,0,6,19,Thu,2,1,medium,11.5,0
27,basic,6,1,24,17,Tue,3,1,low,6.4,1
37,basic,2,0,10,14,Fri,2,0,low,11.8,0
38,basic,3,2,99,8,Sat,5,1,high,3.4,1
18,basic,7,3,166,18,Wed,2,1,medium,6.3,1
37,basic,2,0,105,12,Tue,2,0,high,5.2,1
53,vip,4,1,52,12,Mon,5,1,low,11.1,1
34,basic,1,1,96,18,Fri,2,1,medium,11.7,1
26,plus,1,0,108,17,Tue,3,0,low,4.4,0
42,vip,9,0,70,12,Tue,3,1,low,11.9,1
45,vip,2,0,9,9,Tue,3,1,low,8.3,0
47,plus,4,3,10,16,Mon,3,1,medium,6.8,1
36,basic,3,0,63,10,Tue,5,1,low,5.9,0
24,vip,4,2,66,18,Tue,3,1,medium,6.4,1
32,basic,10,2,34,12,Fri,4,1,high,13.5,1
29,plus,1,0,129,19,Thu,3,1,medium,10.3,0
38,plus,1,1,49,19,Fri,2,1,medium,14.7,1
53,basic,2,0,112,13,Fri,3,1,low,11.6,0
35,basic,1,0,2,20,Thu,2,0,medium,7.2,0
46,plus,9,2,50,9,Sun,4,1,medium,9.4,0
21,vip,1,0,66,14,Fri,3,1,low,0.1,0
47,basic,1,0,28,11,Sun,4,1,high,7.0,1
28,vip,1,0,53,19,Fri,3,1,medium,4.0,1
22,basic,3,1,3,19,Sun,1,0,low,6.0,1
53,vip,3,0,0,9,Mon,2,0,low,11.2,0
40,plus,2,0,10,13,Tue,3,1,low,3.1,0
28,vip,6,0,46,19,Fri,2,1,medium,11.1,0
36,plus,1,0,94,17,Mon,2,1,medium,11.2,0
41,basic,4,1,0,13,Thu,3,0,medium,4.4,0
36,basic,7,0,129,13,Thu,3,1,medium,8.1,1
42,vip,6,1,2,18,Sun,3,0,low,4.9,1
23,plus,10,1,2,17,Sun,4,0,medium,9.6,0
28,basic,9,3,55,7,Sun,2,1,medium,3.4,1
39,basic,9,2,1,10,Fri,1,0,low,0.6,1
37,vip,2,0,105,18,Sun,3,1,high,6.2,0
44,plus,2,0,22,9,Tue,3,1,medium,5.9,0
38,vip,2,1,3,6,Sun,3,0,low,8.2,0
46,basic,3,1,4,12,Wed,3,0,low,10.8,1
