monthly_rent_dkk,fair_value_dkk,asking_start_dkk,accepted_discount_pct,time_on_market_days,price_cuts,month_listed,listing_channel,neighbourhood,type,floor_area_m2,furnished,utilities_included,bathroom_private,kitchen_private,lease_flex,deposit_months,building_year,energy_rating,floor,total_floors,elevator,distance_to_centre_km,distance_to_AAU_km,commute_time_bus_min,market_tightness
2650.0,2600.0,2732.0,0.03,18,1,7,private_portal,Øgadekvarteret,dorm_room,18.7,1,1,1,0,open-ended,4,2019,A,1,4,0,1.4,2.19,12.6,1.04
9762.0,9434.0,9762.0,0.0,11,0,7,private_portal,Hasseris,2br,62.3,1,0,1,1,open-ended,4,1999,D,1,3,1,1.58,3.34,17.7,1.04
2785.0,2600.0,2896.0,0.0383,15,1,8,studiebolig_central,Centrum,dorm_room,21.0,1,0,1,1,fixed,3,2021,B,0,2,0,0.2,3.52,22.9,1.08
2600.0,2600.0,2628.0,0.0107,18,1,9,studiebolig_central,Vestbyen,dorm_room,20.5,1,1,0,0,fixed,1,1990,E,0,2,1,2.39,4.97,30.8,1.04
3544.0,3394.0,3544.0,0.0,18,0,6,private_portal,Øgadekvarteret,shared_room,27.7,0,1,0,1,fixed,4,1985,E,2,4,0,0.78,2.18,14.1,1.03
2600.0,2600.0,2600.0,0.0,7,0,3,private_portal,Øgadekvarteret,shared_room,15.0,1,1,1,0,open-ended,4,1971,F,4,4,1,1.7,2.89,22.6,0.99
4296.0,4210.0,4296.0,0.0,4,0,6,studiebolig_central,Centrum,studio,36.3,1,0,0,0,fixed,2,1959,F,5,5,1,0.36,3.21,19.0,1.03
2819.0,2600.0,2819.0,0.0,9,0,5,private_portal,Centrum,shared_room,15.8,1,1,1,0,open-ended,3,2010,D,1,3,0,0.48,3.69,26.2,1.01
4256.0,4298.0,4491.0,0.0523,15,1,4,studiebolig_central,Hasseris,studio,29.1,0,1,1,1,fixed,3,1985,F,2,3,0,0.72,5.15,26.0,1.0
3435.0,3400.0,3593.0,0.044,16,1,8,studiebolig_central,Skalborg,studio,32.3,0,1,1,1,fixed,3,1972,F,1,2,1,5.49,6.03,34.3,1.08
2651.0,2600.0,2651.0,0.0,12,0,5,studiebolig_central,Centrum,shared_room,18.4,1,0,0,1,fixed,2,2001,D,1,3,0,0.2,3.66,18.4,1.01
2600.0,2600.0,2600.0,0.0,4,0,9,studiebolig_central,Centrum,shared_room,12.0,0,0,0,0,open-ended,2,1978,D,4,6,1,0.63,4.13,24.7,1.04
