timestamp,visitorid,event,itemid,transactionid
1435193216976,50734,view,4442,
1440996903983,355903,view,269631,
1431280237515,1066758,view,221329,
1439507864399,1049477,view,23683,
1437601159324,143239,view,6552,
1440868598798,762715,view,46130,
1436909226237,976898,view,82224,
1440779774908,269679,view,164327,
1431989552823,599789,view,386382,
1436682358636,270991,view,369195,
1442006916605,294236,view,243355,
1438374848875,40936,view,338817,
1436289794379,513155,view,118195,
1434379349046,856765,view,219859,
1439506973421,1000514,view,427472,
1430795166324,512477,view,313276,
1431824757427,19238,view,224237,
1442199463575,1351208,view,151283,
1441666184859,1159686,view,450082,
1439149188531,425945,view,64951,
1432179356085,1239092,view,211811,
1430718049441,976647,view,165302,
1436128438389,38360,view,349306,
1442114993691,1347127,view,376751,
1432749320876,57905,view,456056,
1432084607531,415761,view,319613,
1435966930108,304352,view,311585,
1436302991626,471651,view,228392,
1435770329909,622118,view,442236,
1437719116163,328843,view,264221,
1441342561874,658643,view,47524,
1438197492354,316573,view,402019,
1433201533133,765,view,287017,
1438960190631,468309,view,437177,
1434141084524,205659,view,31469,
1431024298533,385399,view,376113,
1440561946970,1370405,view,211360,
1441337863177,301542,view,374449,
1437962746389,1262733,view,310397,
1441319334975,1083494,view,365948,
1435799692350,255112,view,31514,
1439434540589,427521,view,70022,
1431916820553,13171,view,377960,
1440077263995,545582,view,381987,
1437123282702,625309,view,181149,
1440716383325,460198,addtocart,153909,
1440541153049,477852,view,392940,
1435118563597,857355,view,72802,
1437336142262,485300,view,285430,
1432953031093,280065,view,397204,
1439071711825,1253622,view,447654,
1438128234411,328497,view,134825,
1430768103005,76807,view,351044,
1434038836111,92574,addtocart,9629,
1434661259129,1015139,view,17137,
1441496471979,395568,view,338660,
1432769558169,404403,view,352230,
1440361976513,569553,view,48256,
1437251846307,107717,view,270487,
1431462037737,1320267,view,197852,
1442255892907,1200854,view,218746,
1437495984974,1312156,addtocart,55251,
1440091005380,568171,view,347369,
1441736688288,759447,view,24150,
1439863673480,1402509,view,234808,
1441774228687,1027719,view,287449,
1438397586660,596592,view,126365,
1439135191744,413706,view,51155,
1434841150669,816622,addtocart,207197,
1434577989998,349944,view,344527,
1434667865509,859035,view,419937,
1432098821640,772114,view,23357,
1432662784750,258714,view,86315,
1438617130345,1385073,view,29725,
1431237215820,1294586,view,105632,
1432340171280,554751,view,347244,
1436289680621,181157,view,271894,
1437245593286,657729,view,84149,
1434737025021,921432,view,163189,
1435610998221,132496,view,451938,
1441546370072,462098,view,358673,
1437772450694,169646,view,58935,
1431999905726,570,view,465470,
1434659615770,498362,view,228392,
1436243313899,901310,view,446454,
1432744600612,519382,view,337194,
1437909844298,1164862,view,48066,
1436852222572,1263511,view,404643,
1431461658930,1066430,view,51667,
1434753859720,95225,view,386859,
1435009147553,765630,transaction,394809,4462.0
1436930495289,120707,view,429180,
1438629642411,535599,view,63404,
1437083743279,401062,view,279402,
1431138474121,299878,view,32299,
1432243290959,159316,view,19572,
1432424083837,416902,view,418688,
1435963354629,861495,view,164498,
1432065296850,458772,view,280375,
1433875331057,748040,view,76617,
1441897540812,1243688,view,72941,
1436624859276,195713,view,362606,
1431641184073,570643,view,300314,
1434823898816,769831,view,243136,
1431564969273,520318,view,101845,
1438475498242,836138,view,288387,
1432907577597,714570,addtocart,19185,
1439229960268,347148,view,97257,
1441691646666,980855,view,48903,
1438126900570,932826,view,91105,
1436499444324,241713,view,44465,
1431468859181,245259,view,102306,
1432511733521,612877,view,412747,
1441767113129,1302800,view,195854,
1438907150351,642923,view,303960,
1441670159248,1143935,view,362574,
1431050303531,934274,view,49420,
1437174138093,1174978,view,374835,
1434393632852,198737,addtocart,385534,
1441998627239,1060942,view,369000,
1431802194867,414464,view,248552,
1439015644741,159797,view,384115,
1431902912756,743454,view,180588,
1436238396479,1008039,view,169229,
1442007747287,1206108,view,170074,
1436591004227,310200,view,214790,
1437605784290,773469,view,104537,
1431825843794,1318892,view,270144,
1438398349508,472958,view,453618,
1434471514017,347139,view,204038,
1431983796815,1109038,view,230055,
1433879324243,1034631,view,270289,
1432065482065,937463,transaction,260426,7448.0
1438467984651,829236,view,60500,
1434666903921,1312056,view,27216,
1435255387726,1150086,view,61292,
1436753274281,17067,view,354714,
1433287303370,705453,view,271326,
1430631453426,818131,view,302242,
1433042408399,905333,view,256695,
1433035717134,251992,view,293139,
1441418207131,16689,view,464980,
1439002126703,479518,view,252239,
1431641893498,1407397,view,111530,
1438175730571,435818,view,425899,
1436396575356,966667,view,252344,
1431640416984,590254,view,50357,
1439601327977,181226,view,116811,
1438041427528,28631,view,216044,
1432927367890,281285,view,303229,
1439933050825,1114168,view,80040,
1435537199430,995174,view,92178,
1434481260387,71350,view,66145,
1436058973462,1136870,view,276035,
1433710354925,1126552,view,130599,
1439407643333,1236353,view,46396,
1441473069953,696141,view,354023,
1434126333460,716510,view,95426,
1434565394036,867161,view,94442,
1433340653661,150792,view,154054,
1436691692142,805200,view,275079,
1436826066258,851696,view,32612,
1431291133580,702161,view,319886,
1436319990540,315316,view,256873,
1431916569836,270726,view,129637,
1435085495708,268916,view,256721,
1441690516479,436023,view,256665,
1435931633101,914479,view,367490,
1433890374607,1085647,view,466118,
1439834775078,1041441,view,132729,
1434915021860,554468,view,227880,
1439246290660,536982,view,438118,
1440602163141,283582,view,336891,
1431642620328,913004,view,338541,
1434472565716,1094077,view,238994,
1441094243446,1128087,view,194180,
1436596257894,515929,view,456915,
1433056059991,95545,view,364612,
1440535771732,221702,view,270532,
1435884634543,1170842,view,81221,
1436309979811,375593,view,101494,
1433579816838,528220,view,390591,
1434432659675,469528,view,63092,
1435253850321,261370,view,454896,
1436571646121,772882,view,206657,
1438881739914,688597,view,7943,
1441679939717,1394113,view,236786,
1436745014820,785054,view,407046,
1438212140159,770866,view,106350,
1437666813796,548104,view,384302,
1435952084665,1250303,view,358652,
1433459910617,964176,view,64872,
1433080948738,196134,view,260650,
1433982959061,147648,view,335041,
1438656084274,245682,view,300498,
1432871847413,270450,view,332247,
1436658274358,795539,view,240262,
1440196868449,412637,view,109001,
1440711362180,1250950,view,352471,
1440736059660,1059796,view,172063,
1436062916991,246452,view,192333,
1437190917185,103637,view,212734,
1440043916275,239436,view,235047,
1440405658171,218098,view,319602,
1438019138286,809501,view,287586,
1438713190384,945636,view,73297,
1430850585947,150304,view,245333,
1433791419965,520012,view,461024,
1434837443498,406046,view,78010,
1432744686617,895915,view,228180,
1435019267178,1160986,view,330588,
1438220947206,446413,view,105815,
1431152189908,1111141,view,408139,
1440948979977,687549,view,248840,
1432573941274,1377600,view,342530,
1436907678271,1335691,view,150373,
1441815548013,904426,view,79378,
1440562601731,243370,view,325524,
1438567073013,1272177,view,241782,
1442246529672,428185,view,27216,
1432742824556,474308,view,296989,
1440514792185,122186,view,48390,
1435009783211,1227627,view,213338,
1434841533058,1169882,view,345034,
1435092238194,735424,view,362447,
1435178633185,1138611,view,9199,
1441202136178,875380,view,335516,
1441528070617,1172722,view,74861,
1430921207848,556298,view,228418,
1437653723127,673910,view,184808,
1431823728348,1218288,addtocart,181527,
1439268715716,498237,view,443875,
1430959392872,563388,view,318333,
1434925646104,329243,view,282009,
1434778725677,484576,view,387176,
1434509715253,808848,view,428556,
1430805163949,1302410,view,94109,
1438106123328,317119,view,12217,
1432762928424,771787,view,179499,
1437597689410,737583,view,247601,
1433384324331,1151156,view,126642,
1437231699614,384393,view,129068,
1441458688844,575240,view,165996,
1434556754234,1341101,view,361103,
1431033986940,549949,view,96780,
1432084433407,380954,view,441719,
1436228385149,1322380,view,348160,
1438273816210,744550,view,280460,
1432365616156,707464,view,100172,
1438758391975,1064487,view,418279,
1436917576406,625167,view,390826,
1437845406093,1404405,view,439995,
1434293832957,1203822,view,232497,
1431016662412,484421,view,213876,
1436998853532,76113,view,243855,
1435448017080,89636,view,171771,
1439934092504,370393,view,229537,
1432308663092,383631,view,309821,
1441122359419,200496,view,126332,
1435541615982,903218,view,61303,
1435802368966,297715,view,269170,
1435618623450,371606,view,414654,
1437748116514,86908,view,142589,
1435095218997,613145,view,410279,
1435169078142,834762,view,200435,
1431972807048,1308326,view,29823,
1437887354676,771175,view,262211,
1434725997043,819774,view,270886,
1437684321246,856943,view,314420,
1439568447582,458125,view,152433,
1440640468824,236963,view,268755,
1433538901548,61548,view,144213,
1437516358429,345743,view,339089,
1433735878109,374772,view,208460,
1436995346934,302243,view,321850,
1436229628871,228075,view,370653,
1436703186951,1264781,view,123688,
1440737686696,625791,view,463351,
1435128396981,969827,view,33267,
1435805189198,1005851,view,413999,
1435181871354,948752,view,380527,
1439067581252,1055121,view,316351,
1432357898847,42492,view,227489,
1442163410516,1080032,view,374585,
1437951236876,1076349,view,137863,
1440803538722,765559,view,130709,
1433172533548,369898,view,303517,
1437879421993,613378,view,11131,
1440626220615,164460,view,130352,
1432585123175,766358,view,389135,
1432160428956,1014519,view,332159,
1434927083977,779995,view,249881,
1440179690869,600728,view,289232,
1433388919068,409636,view,238994,
1441726456819,1177366,view,175600,
1436069209963,1190900,view,227350,
1436460860617,349912,view,169811,
1438843845729,406054,view,245573,
1439272069231,491334,view,121699,
1435081016344,117929,view,446409,
1431989752285,1147759,view,139608,
1439305736107,237808,view,446321,
1432077573690,76757,view,116589,
1431583376581,1264358,view,385705,
1434294201040,242508,view,98061,
1434635323328,885139,view,416007,
1433522119604,939366,view,415062,
1432700892875,448516,view,97890,
1433961822359,268223,view,171257,
1438016878990,564210,view,371292,
1441352248553,992559,view,77890,
1432306063112,563777,view,387545,
1437698942963,250961,view,246196,
1440305172254,455143,view,221055,
1432139878904,926911,view,108984,
1437328856714,467595,view,332175,
1434850187200,930269,view,37554,
1439675938651,469946,view,233156,
1432276916084,152635,view,103236,
1433251597907,770544,view,175668,
1432865266842,168685,view,111530,
1432233329094,877374,view,246579,
1440785535479,873815,view,20043,
1435600648948,1310199,view,380511,
1437791795549,923581,view,290999,
1440762583989,290146,view,428232,
1438286043672,1271752,view,315734,
1440400414991,708399,view,242796,
1435375462532,837414,view,182283,
1439911577037,697780,view,100082,
1439926157870,983871,view,212333,
1436919070836,338825,view,174886,
1441494129731,512033,transaction,276821,11897.0
1438660762558,267639,view,183342,
1438574061038,57619,view,434105,
1437085932180,695952,view,222077,
1438836516441,270877,view,252586,
1438118770613,21205,view,349611,
1437444805560,564156,view,159542,
1435459339837,1040296,view,272770,
1432342443961,2748,view,394181,
1431330581776,208619,view,356129,
1441312693609,1213423,view,275294,
1434818433231,1285850,view,138778,
1436217675925,505506,view,71952,
1432008120828,717756,view,264256,
1434065325278,1353906,view,239583,
1441162654191,1014699,view,244252,
1441925933619,193841,view,245085,
1433856629956,839054,view,18573,
1440874419410,985034,view,315393,
1432844410752,195721,view,442131,
1439905926689,1107403,view,394678,
1432174801416,504266,view,441835,
1436923357017,936397,view,44411,
1441170804959,713702,view,129065,
1432853968533,86492,view,79124,
