age,membership_tier,bookings_30d,late_cancels_30d,lead_time_hours,class_start_hour,day_of_week,instructor_pop,received_reminder,rain_risk,distance_km,no_show_next_class
27,basic,6,1,56,10,Wed,5,1,medium,8.8,0
34,plus,6,0,1,20,Wed,5,0,low,10.8,0
55,basic,1,0,51,21,Thu,5,0,high,13.2,1
28,plus,1,0,102,10,Sun,5,1,low,13.1,0
50,plus,4,0,129,18,Wed,5,1,low,0.3,0
18,vip,1,0,38,16,Sun,4,0,low,2.8,1
38,plus,1,0,3,14,Sat,4,0,medium,6.4,0
38,plus,1,0,1,18,Wed,5,0,low,7.4,1
36,basic,1,0,4,14,Tue,3,0,medium,6.7,0
48,basic,5,1,6,14,Mon,4,1,low,8.0,0
58,basic,3,0,4,6,Sat,1,0,medium,7.0,1
29,vip,1,0,153,9,Mon,3,1,medium,9.2,0
40,plus,1,0,48,13,Mon,5,1,medium,6.5,0
39,basic,1,0,27,20,Wed,4,1,medium,5.0,0
57,plus,2,0,82,11,Tue,5,1,medium,12.6,1
48,basic,2,0,65,12,Fri,3,1,medium,11.1,1
51,basic,2,0,22,8,Sat,5,1,medium,3.1,1
45,basic,5,2,65,19,Sun,4,1,low,7.1,0
47,basic,8,1,35,19,Sat,4,1,medium,8.1,0
18,plus,1,0,61,8,Thu,5,0,low,5.1,0
26,basic,2,0,16,15,Sat,5,0,low,6.6,1
18,plus,3,0,44,18,Fri,3,1,medium,0.7,0
54,vip,2,0,20,18,Mon,4,0,low,2.9,0
42,basic,3,1,4,19,Sat,2,0,medium,1.1,0
39,basic,2,0,56,13,Mon,5,1,medium,12.3,0
47,plus,6,0,65,14,Sun,5,1,medium,8.5,0
31,plus,1,0,43,12,Sat,3,1,medium,9.4,0
20,basic,2,0,119,21,Wed,4,1,low,10.2,1
40,basic,1,0,69,15,Sat,5,0,low,6.2,0
59,basic,3,1,19,19,Thu,3,0,medium,15.0,0
54,basic,4,0,29,11,Fri,4,1,high,7.3,1
34,basic,1,0,96,20,Wed,3,1,low,9.3,0
53,basic,2,0,68,15,Sat,2,1,low,5.3,1
19,vip,4,0,136,11,Sun,5,1,low,6.1,0
42,basic,2,0,1,10,Tue,4,0,low,1.5,0
58,plus,3,0,17,12,Thu,4,1,low,1.9,0
40,basic,1,0,123,12,Thu,4,1,low,15.6,1
22,vip,1,0,11,16,Wed,4,1,medium,6.1,0
33,vip,10,0,42,8,Sat,2,1,medium,19.1,1
30,basic,4,0,36,12,Tue,5,1,medium,6.1,0
38,plus,3,0,26,14,Mon,3,1,low,15.4,0
39,plus,4,0,4,11,Wed,4,0,medium,1.4,0
45,basic,6,2,10,11,Mon,3,1,low,5.1,0
44,plus,2,0,46,16,Thu,2,1,low,7.7,0
68,basic,1,0,5,18,Sun,2,0,medium,9.2,1
54,basic,1,0,98,14,Mon,4,1,low,4.2,0
24,basic,1,0,30,11,Sat,2,1,low,10.0,0
53,basic,1,0,165,7,Sat,3,1,low,6.3,0
31,basic,4,0,16,16,Tue,3,0,low,3.2,0
21,vip,2,0,94,17,Fri,4,1,low,14.8,0
35,basic,2,0,42,8,Sat,5,1,medium,19.2,0
46,plus,2,0,5,14,Sat,3,0,low,15.2,1
25,plus,1,0,5,18,Fri,3,0,low,8.3,0
29,plus,1,0,153,18,Sat,5,0,low,1.8,0
25,plus,4,0,159,13,Sun,3,0,medium,5.6,1
29,basic,1,0,51,19,Fri,5,0,medium,21.2,0
31,plus,3,0,20,18,Tue,3,1,low,10.9,0
31,basic,2,0,32,21,Sun,4,1,low,3.3,1
36,plus,1,0,85,11,Tue,2,1,low,8.2,0
51,basic,1,0,36,19,Wed,5,1,low,18.8,0
54,basic,1,0,104,11,Sun,5,1,low,5.5,0
52,basic,1,0,45,11,Sat,2,1,low,9.9,1
42,plus,1,0,34,13,Sat,3,0,low,6.7,1
28,plus,1,0,98,6,Sat,3,1,low,10.1,0
45,basic,7,0,1,17,Tue,3,0,low,7.8,0
36,vip,4,0,39,19,Tue,4,0,medium,11.8,1
43,basic,9,1,26,17,Fri,4,1,medium,2.8,0
47,basic,1,0,64,9,Thu,3,1,low,10.2,0
18,plus,2,0,43,19,Sun,5,1,low,4.6,1
52,basic,2,0,97,13,Wed,4,1,low,12.7,1
19,vip,3,0,38,19,Fri,1,1,low,3.7,0
68,basic,3,0,76,17,Thu,5,1,medium,10.0,0
32,plus,3,0,67,12,Fri,1,1,medium,1.6,0
45,plus,2,0,46,17,Fri,3,0,low,0.1,0
48,basic,7,0,147,8,Thu,4,1,low,15.5,0
36,vip,1,0,2,10,Wed,5,0,low,7.9,0
41,plus,1,1,19,20,Tue,3,1,low,8.3,0
34,plus,9,0,1,11,Fri,4,0,high,8.2,0
29,basic,5,0,60,8,Mon,2,1,low,6.9,1
32,basic,2,0,9,12,Tue,4,1,low,12.7,1
34,basic,4,0,133,14,Sat,3,1,low,10.0,0
48,basic,1,0,44,12,Thu,4,1,medium,17.3,0
35,vip,4,0,117,18,Fri,4,1,low,11.5,0
51,plus,3,0,87,16,Sun,5,0,medium,11.2,1
19,vip,6,0,25,13,Sat,5,1,low,2.7,0
36,basic,2,0,113,13,Tue,5,1,low,10.1,1
53,plus,1,0,33,19,Fri,5,1,medium,4.7,0
32,basic,4,0,98,12,Fri,3,1,medium,7.0,1
38,basic,2,0,16,20,Sat,3,0,low,5.9,1
41,plus,1,0,90,20,Sun,4,0,medium,7.6,0
33,basic,1,1,4,6,Sun,1,0,low,10.5,0
38,plus,1,0,4,17,Thu,5,0,medium,5.4,1
36,vip,1,0,45,6,Wed,4,1,low,7.3,1
18,vip,2,0,52,11,Tue,5,1,medium,5.0,1
46,plus,12,1,58,20,Thu,2,1,low,9.5,0
25,basic,2,0,72,18,Sun,5,1,high,2.8,1
41,vip,3,0,4,15,Sun,4,0,medium,14.7,1
34,basic,11,0,165,18,Sat,5,1,low,10.2,0
31,basic,3,0,109,8,Tue,4,1,low,2.9,1
34,plus,3,0,153,13,Mon,3,0,low,9.8,1
34,basic,3,0,33,13,Fri,3,1,medium,14.7,0
22,vip,2,0,19,12,Fri,4,0,medium,1.8,0
45,basic,1,0,127,18,Wed,4,1,low,3.7,0
38,basic,1,0,114,20,Tue,3,0,medium,10.0,0
43,plus,7,1,53,7,Thu,1,1,low,4.9,0
45,basic,1,0,13,13,Wed,2,0,medium,19.3,1
45,basic,9,3,71,10,Thu,1,1,medium,6.0,0
59,basic,9,1,32,8,Fri,3,1,low,15.5,1
52,vip,3,0,55,18,Tue,2,0,medium,11.9,0
44,basic,1,0,3,14,Wed,2,0,high,13.8,1
31,basic,1,0,64,10,Fri,3,0,low,9.0,1
18,plus,2,0,48,17,Thu,5,1,medium,7.9,1
38,plus,2,0,162,13,Sun,2,1,low,11.1,0
18,basic,2,0,54,20,Sun,1,1,high,14.4,0
34,vip,2,0,58,6,Mon,2,1,low,2.1,0
18,basic,3,0,50,7,Mon,1,0,low,4.2,1
38,plus,14,0,154,11,Tue,3,1,medium,8.1,0
27,basic,5,1,56,12,Fri,1,1,medium,5.6,1
25,plus,1,0,0,7,Sun,5,0,medium,8.9,0
18,basic,1,0,85,13,Wed,3,1,medium,15.4,1
39,plus,7,1,163,11,Mon,3,1,high,3.2,1
18,plus,2,0,6,18,Sun,4,1,medium,15.6,1
54,plus,4,1,2,17,Sat,3,0,low,12.3,0
40,vip,1,0,17,6,Thu,1,1,low,7.7,1
39,plus,1,0,3,12,Sun,1,0,low,13.8,0
42,plus,4,0,5,9,Tue,5,0,medium,14.8,1
57,basic,6,0,27,20,Sun,4,1,medium,8.9,0
47,plus,4,0,161,20,Mon,4,1,medium,9.0,0
29,basic,3,0,10,18,Tue,5,1,low,4.2,1
31,plus,3,1,14,12,Fri,2,1,low,4.7,0
39,basic,3,0,66,8,Tue,4,1,low,2.8,0
51,basic,2,0,21,14,Wed,3,0,low,2.2,0
40,plus,5,0,69,10,Wed,5,1,medium,16.4,0
41,plus,2,0,11,20,Wed,3,1,low,6.4,0
46,vip,3,0,65,18,Thu,4,1,medium,3.5,0
39,basic,2,1,32,13,Mon,3,1,medium,13.7,1
18,basic,2,0,140,12,Sun,4,1,low,1.0,0
47,plus,1,0,119,11,Fri,4,1,high,8.5,1
61,plus,1,0,17,19,Thu,2,1,low,6.8,1
41,plus,1,0,67,9,Fri,4,1,low,5.5,1
25,basic,4,0,123,8,Sun,4,1,medium,12.6,1
29,vip,1,0,25,8,Wed,2,1,low,4.6,0
34,basic,10,1,149,13,Sun,3,1,low,5.9,1
52,vip,2,1,59,7,Tue,2,1,low,6.2,0
38,vip,1,0,51,15,Tue,3,1,low,15.6,0
19,basic,2,0,76,15,Mon,4,1,medium,6.4,0
29,basic,3,0,51,14,Sat,3,0,medium,16.9,1
47,basic,1,0,13,12,Wed,3,1,low,10.3,1
45,plus,2,0,39,20,Fri,3,1,low,13.9,0
29,plus,3,0,32,21,Sat,3,1,low,3.9,0
45,basic,1,0,162,19,Mon,4,1,low,0.1,1
38,plus,4,0,52,11,Thu,5,0,low,8.4,1
40,plus,2,0,14,20,Fri,3,1,medium,8.4,1
23,basic,3,0,115,17,Sat,3,1,medium,10.6,0
43,vip,6,0,65,13,Fri,4,0,low,8.7,0
35,basic,3,0,60,18,Fri,4,1,high,8.4,1
43,basic,11,1,1,9,Fri,4,0,medium,7.0,1
54,basic,3,0,41,18,Tue,3,1,low,4.4,0
54,plus,1,0,145,10,Fri,5,0,medium,14.0,0
43,basic,2,0,57,18,Sun,4,0,medium,12.0,1
44,plus,1,0,14,6,Wed,1,1,low,20.0,0
39,plus,3,1,160,11,Thu,2,0,low,5.0,0
22,basic,2,0,45,13,Tue,5,1,medium,6.7,0
22,vip,5,0,9,19,Thu,5,0,low,13.3,0
31,plus,9,2,105,12,Thu,1,1,low,2.0,0
33,basic,2,0,41,13,Thu,3,1,low,9.3,0
47,basic,3,0,17,8,Fri,3,1,low,10.6,1
46,basic,3,0,2,18,Sat,2,0,low,8.1,0
41,plus,6,0,2,19,Sat,4,0,low,11.5,0
22,vip,1,0,11,19,Fri,4,1,medium,12.3,0
31,basic,2,0,9,8,Sun,4,1,medium,4.0,0
48,basic,20,1,99,15,Wed,3,1,medium,8.6,1
48,basic,1,0,3,10,Mon,4,0,low,8.9,0
18,plus,10,0,121,18,Sat,4,1,high,4.6,0
58,plus,2,0,17,9,Mon,1,0,medium,2.8,0
46,basic,8,1,4,7,Sun,4,0,medium,8.9,1
39,basic,2,0,60,12,Wed,4,0,low,5.5,1
54,vip,3,1,69,13,Tue,2,1,low,7.1,0
39,plus,1,0,139,18,Sun,4,1,medium,5.3,0
54,basic,2,0,77,6,Sun,1,1,low,4.1,1
51,basic,3,0,99,7,Tue,3,0,low,1.8,0
29,vip,3,0,131,18,Mon,2,0,low,8.0,0
42,basic,6,0,28,7,Thu,5,1,low,5.4,0
28,basic,1,0,14,20,Fri,2,1,medium,12.0,0
38,basic,1,0,165,13,Mon,3,1,low,13.7,0
18,basic,5,0,131,18,Sat,5,1,low,18.9,0
48,plus,7,0,8,18,Fri,4,1,low,8.6,1
34,basic,3,0,30,12,Sat,5,0,low,10.2,1
45,basic,9,0,67,19,Fri,2,0,low,4.4,0
34,basic,15,0,70,12,Tue,4,1,low,12.3,0
26,basic,4,0,67,16,Fri,3,0,medium,9.0,0
56,plus,1,0,24,8,Tue,2,0,medium,13.3,0
42,basic,1,0,52,12,Thu,4,1,medium,6.2,0
50,plus,3,1,158,17,Mon,3,0,low,12.9,0
45,basic,13,0,11,7,Sat,4,1,low,6.0,0
43,vip,1,0,43,13,Wed,5,1,low,7.6,0
46,plus,1,1,39,16,Sat,4,1,medium,7.5,0
34,basic,2,0,43,8,Sat,2,1,medium,19.6,0
47,basic,4,0,121,20,Wed,4,1,medium,5.6,0
41,plus,1,0,8,8,Tue,3,1,low,11.9,1
35,basic,3,0,4,11,Wed,2,0,low,1.8,1
54,vip,8,0,12,9,Sat,4,1,medium,16.9,1
43,basic,2,0,11,16,Sun,4,1,low,13.4,1
31,basic,2,0,27,6,Tue,5,1,medium,6.4,1
33,plus,1,0,8,18,Mon,1,1,low,7.9,1
43,vip,1,0,53,15,Wed,3,1,high,6.9,0
37,plus,2,0,110,19,Mon,5,1,high,6.8,0
26,plus,4,0,16,13,Mon,5,0,medium,5.6,1
27,basic,2,0,75,8,Mon,2,1,medium,7.8,1
34,basic,3,0,26,11,Wed,3,1,medium,7.1,1
38,basic,1,0,70,10,Tue,3,1,medium,15.9,0
28,plus,1,0,106,13,Wed,3,1,medium,5.9,0
26,basic,1,0,40,11,Fri,4,1,high,9.0,0
43,plus,1,0,143,21,Sun,2,1,low,5.1,0
54,basic,2,0,12,19,Tue,5,1,medium,7.5,1
41,vip,2,0,59,19,Tue,5,1,medium,9.1,0
30,plus,1,1,68,20,Mon,2,1,low,4.5,0
63,plus,1,0,150,13,Mon,3,0,low,13.1,0
45,basic,1,0,66,14,Sun,5,1,medium,19.6,0
37,plus,4,0,1,19,Tue,4,0,medium,9.4,0
